HR.info ID,Preferred Term,Country / Operation,Operation,Location - Taxonomy Term,"Address (free text to include building name/number, street & Postcode)",Address - Locality (i.e. City),Address - Administrative area (i.e. State / Province),Country,Phones,Email,Organization,Type,Notes
5407,Addis Ababa,Ethiopia,65 - Ethiopia,Addis Ababa,"ECA, 4th Foor, UNOCHA - Coordination Unit  60252",Addis Ababa,,71 - Ethiopia,"+251 91 250 2691
",petit1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5408,Afar,Ethiopia,65 - Ethiopia,Afar,Semera  60252,Semera,,71 - Ethiopia,"+251 91 103 3035
",mengistu1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5409,Amhara (Addis Based),Ethiopia,65 - Ethiopia,Addis Ababa,Addis Ababa  60252,Addis Ababa,,71 - Ethiopia,"+251 91 114 1917
",hadgu1@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5410,Gambella/ Beneshangul Gumuz,Ethiopia,65 - Ethiopia,Gambela,  ,,,71 - Ethiopia,"+251 47 551 0075
, +251 47 551 0243
",agid@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5411,Gode,Ethiopia,65 - Ethiopia,Somali,  ,Gode,,71 - Ethiopia,"+251 91 379 0451
",chilundam@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5412,Jijiga,Ethiopia,65 - Ethiopia,Somali,  ,Jijiga,,71 - Ethiopia,"+251 25 774 0864
",omerf@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5413,Kebridahar,Ethiopia,65 - Ethiopia,Korahe,  ,Kebridahar,,71 - Ethiopia,"+251 91 155 0047
",jallohh@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5414,Oromia (Addis Based),Ethiopia,65 - Ethiopia,Addis Ababa,Addis Ababa  ,Addis Ababa,,71 - Ethiopia,"Mobile: 
+251 91 147 3875
",tamirul@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
5415,SNNPR,Ethiopia,65 - Ethiopia,SNNPR,Hawassa  ,Hawassa,,71 - Ethiopia,"+251 91 113 9163
",andargie@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7117,Baidoa,Somalie,68 - Somalia,Baydhaba,UNICEF Compund  0,Baidoa,Baidoa,205 - Somalia,"+252 699 770046
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7118,Bakool,Somalie,68 - Somalia,Bakool,Bakool  Bakool,Bakool,Bakool,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7119,Banadir,Somalie,68 - Somalia,Banadir,Banadir  0,Banadir,Banadir,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7120,Bay,Somalie,68 - Somalia,Bay,Bay  0,Bay,Bay,205 - Somalia,"+254 20 4002414
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7121,Bossaso,Somalie,68 - Somalia,Bossaso,UNHCR Compund  0,Bossaso,Bossaso,205 - Somalia,"+252 5 829346
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7122,Dollow,Somalie,68 - Somalia,Gedo,UNHCR Compund  0,Dollow,Dollow,205 - Somalia,"+252 61 6156533
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7123,Galgaduud,Somalie,68 - Somalia,Galgaduud,Galgaduud  0,Galgaduud,Galgaduud,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7124,Galkacyo,Somalie,68 - Somalia,Gaalkacyo,UNHCR Compund  0,Gaalkacyo,Gaalkacyo,205 - Somalia,"+252 90791808
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7125,Garowe,Somalie,68 - Somalia,Nugaal,Garowe UNCC  0,Garowe,Garowe,205 - Somalia,"+252 90793816
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7126,Gedo,Somalie,68 - Somalia,Gedo,Gedo  0,Gedo,Gedo,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7127,Hargeysa,Somalie,68 - Somalia,Hargeysa,UNCC  0,Hargeysa,Hargeysa,205 - Somalia,"+252 2 525504
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7128,Hiraan,Somalie,68 - Somalia,Hiraan,Hiraan  0,Hiraan,Hiraan,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7129,Lower Juba,Somalie,68 - Somalia,Lower Juba,Lower Juba  0,Lower Juba,Lower Juba,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7130,Lower Shabelle,Somalie,68 - Somalia,Lower Shabelle,Lower Shabelle  0,Lower Shabelle,Lower Shabelle,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7131,Middle Juba,Somalie,68 - Somalia,Middle Juba,Middle Juba  0,Middle Juba,Middle Juba,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7132,Middle Shabelle,Somalie,68 - Somalia,Middle Shabelle,Middle Shabelle  0,Middle Shabelle,Middle Shabelle,205 - Somalia,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7133,Mogadishu,Somalie,68 - Somalia,Banadir,UNCC  0,Mogadishu,Mogadishu,205 - Somalia,"+252 698 222223
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7134,Nairobi,"Kenya, Somalie",,,28832  200,Nairobi,,116 - Kenya,"+254 20 4002400
",ochasomaliainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
7135,South Mudug,Somalie,68 - Somalia,Mudug,South Mudug  0,South Mudug,South Mudug,205 - Somalia,"+254 20 4002400
",ochasomalainfo@un.org,497 - United Nations Office for the Coordination of Humanitarian Affairs,Coordination Hub,
9207,Cotabato Sub-Office,Philippines,84 - Philippines,,No. 080 Rufo Manara St. Rosary Heights 10 9600,Cotabato City,Mindanao,175 - Philippines,"+63 64 421 7935
",muktar@un.org,,Office,
9210,Manila,Philippines,84 - Philippines,,"30/F, Yuchengco Tower, RCBC Plaza Ayala Avenue 1226",Makati City,NCR,175 - Philippines,"+63 2 843 9553
",ochaphilippines@un.org,,Office,
