HR info ID,Preferred Term,ACRONYM,homepage,OrgTypeID - OrgTypePreferredTerm,FinancialTrackingService ID,Edit Status,IsReplacedBy,Notes
17145,(at)Fire,,,443 - Other,,Deleted,56052,
56052,@fire International Disaster Response,@fire,http://www.at-fire.de/,437 - International NGO,,Edited,,Deleted 'Germany' from Preferred Term as its an International NGO
62590,3 Million Club,3MC,https://3millionclub.com/,433 - Donor,,No Change Made,,
62875,410 Bridge,410 Bridge,http://www.410bridge.org/,437 - International NGO,,No Change Made,,
62418,A Portée de Mains,APM,http://apm-asso.com/,441 - National NGO,,No Change Made,,
47796,A Self-help Assistance Programme,ASAP,http://www.asapafrica.org,441 - National NGO,,No Change Made,,
17146,A Single Drop for Safe Water,ASDSW,http://www.singledrop.org/,441 - National NGO,,No Change Made,,
62737,"A2D Project - Research Group for Alternatives to Development, Inc.",A2D,http://www.a2dproject.org/,441 - National NGO,,No Change Made,,
2077,Aamin Voluntary Relief Organization,AVRO,http://avroorg.com/,441 - National NGO,,No Change Made,,
50354,Association pour le Bien-être Collectif et l'Écologie,ABC Ecologie,http://abcecologie.e-monsite.com/,437 - International NGO,,Edited,,Added full title instead of ABC Ecologie and changed acronym from ABC to ABC Ecologie
61950,Abs Development for Women & Children,ADO,http://absyemen.org/,441 - National NGO,,Edited,,Added website
17147,Alto Broadcasting System – Chronicle Broadcasting Network Corporation,ABS-CBN,http://corporate.abs-cbn.com/,439 - Media,,Edited,,Added acronym and website and added full name in place of acronym 
61817,Acceptance International,AI,http://www.acceptance-international.org/,437 - International NGO,,No Change Made,,
2078,Access Aid and Development,AAD,http://www.access-aid.org/,441 - National NGO,,No Change Made,,
448,Access Aid International,AAI,http://www.aai.org.au/,437 - International NGO,16377,Edited,,Added website
62329,Accessibility Organization for Afghan Disabled,AOAD,www.aoad-af.org,441 - National NGO,,No Change Made,,
17148,Accord,,,437 - International NGO,,,,Is this meant to be http://www.accord.org.za/ or http://www.acordinternational.org/
49416,Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,ACDI-VOCA,http://www.acdivoca.org/,437 - International NGO,,Edited,,replaced acronym with words
52517,ACK Development Services (Kenya),ADS-Nyanza,http://ads-nyanza.org/,441 - National NGO,,Edited,,Added Acronym
17149,ACT Alliance,ACT,http://www.actalliance.org/,437 - International NGO,,,,Can't find the meaning of the acronym
56434,Act for Peace,,http://www.actforpeace.org.au/,437 - International NGO,,No Change Made,,
2079,Action Africa Help-International,AAH-I,http://www.actionafricahelp.org/,437 - International NGO,,No Change Made,,
449,Action against Hunger,ACF,http://www.acf-international.org/,437 - International NGO,,Edited,,Added website - is this the correct one?
63045,Action Citoyenne Pour la Promotion et la Defense ds Droits Humains,ACPDDH,,441 - National NGO,,,,Should this be https://acpdh.wordpress.com/?
62988,Action Communautaire de Solidarité et d'Intervention (Haiti),ACSIS,,441 - National NGO,,No Change Made,,
50355,Action de Lutte contre la Pauvreté,ALCP,,437 - International NGO,,No Change Made,,
46559,Action de Partenariat pour le Développement Communautaire (Central African Republic),APDC,,441 - National NGO,,,,
62740,Action et Coopération pour le Développement (Tchad),ACODE,,441 - National NGO,,,,
47207,Action for Community Transformation Organization,ACT,,441 - National NGO,,,,
17150,Action for Health Initiative,ACHIEVE,,441 - National NGO,,,,
54594,Action for Humanitarian Development,AHD,,441 - National NGO,,,,
2080,Action for Relief and Development,ARD,http://www.actionrelief.net/,441 - National NGO,,,,
450,Action for Sustainable Change,AFOSC,,437 - International NGO,,,,
2081,Action for Youth & Environmental Development,AYED,,441 - National NGO,,,,
62094,Action Humanitaire et d'Appui au Développement Congo Brazza (Republic of Congo),AAREC,,441 - National NGO,,,,
49417,Action Mopti,,http://www.actionmopti.org/,441 - National NGO,,,,
17151,Action Pompiers Uzgence Inlana Vionus,,,443 - Other,,,,
62074,Action pour la Concertation et la Cohésion Economique et Sociale,ONG ACCES,http://www.ongacces.org,441 - National NGO,,,,
62558,"Action pour la SantÃ©, lâ€™Environnement et le  DÃ©vÃ©loppement",ASED,,441 - National NGO,,,,
46560,Action pour le Développement Intégral des Humains (Central African Republic),ADIH,,441 - National NGO,,,,
61554,Action pour un developpment durable,ONG-AKARASS,http://www.ongakarass.org/,441 - National NGO,,,,
50356,Action Promotion Developpement,APDEV,,437 - International NGO,,,,
49418,Action Recherches pour le Développement des initiatives Locales (Mali),ARDIL,,441 - National NGO,,,,
50484,Action Santé Organisation Secours,ASOS,,441 - National NGO,,,,
56756,ACTION SECOURS AMBULANCE,ASA,www.asambulance.org,441 - National NGO,,,,
62546,Action Sociale pour la Promotion des Laissés pour Compte,ASPLC,www.asplcasbl.org,441 - National NGO,,,,
62046,Action Society for Water Supply Environment and Development,ASWED,http://www.aswed.org/,441 - National NGO,,,,
62404,Action Technique pour un Developpement Communautaire,ATEDEC,http://www.atedec1.org/,437 - International NGO,,,,
60841,Action Works Nepal,AWON,http://www.actionworksnepal.com/,441 - National NGO,,,,
897,ActionAid,,http://www.actionaid.org/,437 - International NGO,,,,
62095,ActionAid International,,,437 - International NGO,,,,
62024,Actions et interventions pour le développement et encadrement social,AIDES,,441 - National NGO,,,,
2082,Active in Development Aid,ADA,http://adasom.org/,441 - National NGO,,,,
917,Active Learning Network for Accountability and Performance,ALNAP,http://www.alnap.org,438 - International Organization,6097,,,
17152,ACTS World Relief,ACTS,http://actswr.org/,437 - International NGO,,,,
62894,Adamawa Peace Makers Initiative (Nigeria),API,http://peacemakernigeria.org/,441 - National NGO,,,,
56670,Adara Development,ADARA,http://www.adaragroup.org/,437 - International NGO,,,,
63067,Addition for Disaster assistance & Development (Sudan),ADD,http://www.addorg.org/,441 - National NGO,,,,
53512,Aden Humanitarian Coordination Team,AHCT,,443 - Other,,,,
62096,ADES-Tchad (Chad),,,441 - National NGO,,,,
62897,Adeso (Kenya),Adeso,http://adesoafrica.org/,441 - National NGO,,,,
63121,Adopt-A-Camp (Nigeria),AAC,www.adoptacamp.org.ng,441 - National NGO,,,,
2083,Advancement for Small Enterprise Programme,ASEP,,441 - National NGO,,,,
17153,Adventist Community Service,,,443 - Other,,,,
1069,Adventist Development and Relief Agency,ADRA,http://www.adra.org/,446 - Religious,6579,,,
54595,"Advocacy, Research, Training and Services Foundation",ARTS,http://orgs.tigweb.org/advocacy-research-training-services-arts-foundation,441 - National NGO,,,,
62374,Advocates Coalition for Rights and Development,ADCORD,http://adcord.org/,441 - National NGO,,,,
49419,AECOM International Development,,http://aecom.com,438 - International Organization,,,,
47208,Afghan Community Development Organization,ACDO,http://www.areu.org.af/AtoZListingDetails.aspx?,441 - National NGO,,,,
62321,Afghan Community Research & Empowerment Organization for  Development,ACREOD,,441 - National NGO,,,,
62092,Afghan Development Association,ADA,www.ada.org.af,441 - National NGO,,,,
62322,Afghan Disabled and Vulnerable Society,ADVS,,441 - National NGO,,,,
62091,Afghan Family Guidance Association,AFGA,,441 - National NGO,,,,
47209,Afghan Geodesy and Cartography Head Office,AGCHO,http://agcho.gov.af/fa,435 - Government,,,,
62088,Afghan Health & Development Services,ADHS,,441 - National NGO,,,,
62090,Afghan Institute of Learning,AIL,,441 - National NGO,,,,
62324,Afghan Institute of Training and Management,AITM,,441 - National NGO,,,,
62326,Afghan Landmine Survivors Organization,ALSO,http://www.afghanlandminesurvivors.org/,441 - National NGO,,,,
62327,Afghan Meteorological Authority,AMA,,435 - Government,,,,
47210,Afghan Midwives Association,AMA,http://afghanmidwives.org/,441 - National NGO,,,,
62328,Afghan National Association for Adult Education,ANAFAE,http://anafae.af/,441 - National NGO,,,,
62097,Afghan NGO Coordination Bureau,ANCB,,441 - National NGO,,,,
62352,Afghan Planning Agency,APA,,441 - National NGO,,,,
61325,Afghan Reconstruction Trust Fund,ARTF,http://www.artf.af/,438 - International Organization,,,,
47211,Afghan Red Crescent Society,ARCS,,445 - Red Cross / Red Crescent,,,,
62528,Afghan Street Working Children and New Approach,ASCHIANA,,441 - National NGO,,,,
62333,Afghan Women Council,,AWC,441 - National NGO,,,,
62336,Afghan Women Services and Education Organization,AWSE,,441 - National NGO,,,,
62337,Afghan Women Services and Education Organization,AWSE,,441 - National NGO,,,,
62334,Afghan Women's Educational Center,AWEC,,441 - National NGO,,,,
47212,Afghan Women's Network,AWN,,441 - National NGO,,,,
62335,Afghan Women's Resource Centre,AWRC,,441 - National NGO,,,,
47213,Afghanaid,Afghanaid,http://www.afghanaid.org.uk/,437 - International NGO,,,,
62314,Afghanistan Analysts Network,AAN,https://www.afghanistan-analysts.org/,431 - Academic / Research,,,,
62320,Afghanistan Center at Kabul University,ACKU,http://acku.edu.af/,431 - Academic / Research,,,,
47214,Afghanistan Center for Training and Development,ACTD,http://www.actd.org.af/,441 - National NGO,,,,
62669,Afghanistan Development and Education Organization (Afghanistan),ADEO,http://www.adeo.org.af/,441 - National NGO,,,,
47215,Afghanistan Human Rights and Democracy Organization,AHRDO,http://ahrdo.org/,441 - National NGO,,,,
62098,Afghanistan Independent Human Rights Commission,AIHRC,www.aihrc.org.af,435 - Government,,,,
47216,Afghanistan Information Management Services,AIMS,http://www.aims.org.af/,441 - National NGO,,,,
61974,Afghanistan National Re-Construction Coordination,ANCC,http://ancc-afg.org/,441 - National NGO,,,,
61326,Afghanistan New Beginnings Program,ANBP,http://www.anbp.af.undp.org/homepage/,438 - International Organization,,,,
47217,Afghanistan Public Policy Research Organization,APPRO,http://appro.org.af/,441 - National NGO,,,,
62377,Afghanistan Reconstruction & Planning Department,ARPD,http://www.arpd-af.org/,441 - National NGO,,,,
62353,Afghanistan Relief Committee,ARC,,441 - National NGO,,,,
47218,Afghanistan Rescue Services,ARS,,437 - International NGO,,,,
47219,Afghanistan Research and Evaluation Unit,AREU,http://www.areu.org.af/,441 - National NGO,,,,
61327,Africa Climate Change Resilience Alliance,ACCRA,community.eldis.org/accra/,438 - International Organization,,,,
62569,Africa Cooperative Action Trust,ACAT,http://www.acat.org.sz/,446 - Religious,,,,
2084,Africa Educational Trust,AET,http://www.africaeducationaltrust.org,437 - International NGO,,,,
53116,Africa Medical and Research Foundation,AMREF,,437 - International NGO,,,,
49420,Africa Welfare Women Committee,AWECO,,437 - International NGO,,,,
46561,Africa Without Borders,AWB,,441 - National NGO,,,,
53117,African Centre for Constructive Resolution of Disputes,ACCORD,,437 - International NGO,,,,
50357,African Centre of Meteorological Application for Development,ACMAD,http://acmad.net,431 - Academic / Research,,,,
61328,African Commission on Human and People's Rights,ACHPR,http://www.achpr.org/,438 - International Organization,,,,
49421,African Development Bank Group,AFDB,http://www.afdb.org,438 - International Organization,,,,
2085,African Development Solutions,ADESO,http://adesoafrica.org/,437 - International NGO,,,,
52518,African Development Trust,ADT,http://africandt.org/,437 - International NGO,,,,
52519,African Great Lakes Initiative,AGLIFPT,http://aglifpt.org,437 - International NGO,,,,
62395,African Humanitarian Action,AHA,,437 - International NGO,,,,
62887,African Humanitarian Action,AHA,,441 - National NGO,,,,
46562,African Humanitarian Agency,AHA,http://www.aha-africa.org,437 - International NGO,,,,
62099,African Initiative for Relief & Development,AIRD,,437 - International NGO,,,,
62690,African Leadership Centre,ALC,http://www.africanleadershipcentre.org/,431 - Academic / Research,,,,
61329,African Ministers' Council on Water,AMCOW,http://www.amcow-online.org/index.php?lang=en,438 - International Organization,,,,
61330,African Network for the Prevention and Protection against Child Abuse and Neglect,ANPPCAN,http://www.anppcan.org/,438 - International Organization,,,,
62516,African Program for the Economic and Social Development,PADES,http://www.pades.org/en/,437 - International NGO,,,,
46563,African Regional Spatial Data Infrastructure,ARSDI,,441 - National NGO,,,,
61331,African Revival Ministries,ARM,http://africanrevivalministries.com/,438 - International Organization,,,,
61332,African Risk Capacity,ARC,http://www.africanriskcapacity.org/,438 - International Organization,,,,
2086,African Rural Advancement Organization,ARAO,,441 - National NGO,,,,
46564,African Union,AU,,438 - International Organization,,,,
